Country,Population,Area in sq km,Population Density per sq km
Macau,592731.0,28.0,21168.964285714286
Monaco,30535.0,2.0,15267.5
Singapore,5674472.0,697.0,8141.279770444763
Hong Kong,7141106.0,1108.0,6445.041516245487
Gaza Strip,1869055.0,360.0,5191.819444444444
Gibraltar,29258.0,7.0,4179.714285714285
Bahrain,1346613.0,760.0,1771.8592105263158
Maldives,393253.0,298.0,1319.6409395973155
Malta,413965.0,316.0,1310.01582278481
Bermuda,70196.0,54.0,1299.9259259259259
Bangladesh,168957745.0,143998.0,1173.3339699162489
Sint Maarten,39689.0,34.0,1167.3235294117646
Guernsey,66080.0,78.0,847.1794871794872
Jersey,97294.0,116.0,838.7413793103449
Barbados,290604.0,430.0,675.8232558139534
Mauritius,1339827.0,2040.0,656.7779411764706
Taiwan,23415126.0,35980.0,650.7817120622568
Aruba,112162.0,180.0,623.1222222222223
Lebanon,6184701.0,10400.0,594.6827884615385
Saint Martin,31754.0,54.0,588.0370370370371
San Marino,33020.0,61.0,541.311475409836
"Korea, South",49115196.0,99720.0,492.53104693140796
Rwanda,12661733.0,26338.0,480.74010934771053
West Bank,2785366.0,5860.0,475.3184300341297
Nauru,9540.0,21.0,454.2857142857143
Tuvalu,10869.0,26.0,418.03846153846155
Netherlands,16947904.0,41543.0,407.96052283176465
Marshall Islands,72191.0,181.0,398.8453038674033
Israel,8049314.0,20770.0,387.5452094366875
Burundi,10742276.0,27830.0,385.99626302551206
India,1251695584.0,3287263.0,380.7713541630226
Belgium,11323973.0,30528.0,370.9372707023061
Haiti,10110019.0,27750.0,364.325009009009
Comoros,780971.0,2235.0,349.42774049217
Philippines,100998376.0,300000.0,336.6612533333333
Sri Lanka,22053488.0,65610.0,336.12998018594726
Japan,126919659.0,377915.0,335.8418136353413
Curacao,146836.0,444.0,330.7117117117117
Grenada,110694.0,344.0,321.7848837209302
Guam,161785.0,544.0,297.39889705882354
El Salvador,6141350.0,21041.0,291.8753861508483
Vietnam,94348835.0,331210.0,284.8610700160019
American Samoa,54343.0,199.0,273.08040201005025
Jamaica,2950210.0,10991.0,268.4205258848148
Saint Lucia,163922.0,616.0,266.10714285714283
Saint Vincent and the Grenadines,102627.0,389.0,263.82262210796915
United Kingdom,64088222.0,243610.0,263.0771396904889
Puerto Rico,3598357.0,13790.0,260.93959390862943
Pakistan,199085847.0,796095.0,250.07800199724906
Trinidad and Tobago,1222363.0,5128.0,238.3703198127925
Liechtenstein,37624.0,160.0,235.15
Germany,80854408.0,357022.0,226.4689795026637
British Virgin Islands,33454.0,151.0,221.5496688741722
Luxembourg,570252.0,2586.0,220.51508120649652
Dominican Republic,10478756.0,48670.0,215.3021573864804
Nepal,31551305.0,147181.0,214.3707747603291
Cayman Islands,56092.0,264.0,212.46969696969697
