Rank,Country,Population
1,China,1367485388.00
2,India,1251695584.00
3,European Union,513949445.00
4,United States,321368864.00
5,Indonesia,255993674.00
6,Brazil,204259812.00
7,Pakistan,199085847.00
8,Nigeria,181562056.00
9,Bangladesh,168957745.00
10,Russia,142423773.00
11,Japan,126919659.00
12,Mexico,121736809.00
13,Philippines,100998376.00
14,Ethiopia,99465819.00
15,Vietnam,94348835.00
16,Egypt,88487396.00
17,Iran,81824270.00
18,Germany,80854408.00
19,Turkey,79414269.00
20,"Congo, Democratic Republic of the",79375136.00
21,Thailand,67976405.00
22,France,66553766.00
23,United Kingdom,64088222.00
24,Italy,61855120.00
25,Burma,56320206.00
26,South Africa,53675563.00
27,Tanzania,51045882.00
28,"Korea, South",49115196.00
29,Spain,48146134.00
30,Colombia,46736728.00
31,Kenya,45925301.00
32,Ukraine,44429471.00
33,Argentina,43431886.00
34,Algeria,39542166.00
35,Poland,38562189.00
36,Uganda,37101745.00
37,Iraq,37056169.00
38,Sudan,36108853.00
39,Canada,35099836.00
40,Morocco,33322699.00
41,Afghanistan,32564342.00
42,Nepal,31551305.00
43,Malaysia,30513848.00
44,Peru,30444999.00
45,Venezuela,29275460.00
46,Uzbekistan,29199942.00
47,Saudi Arabia,27752316.00
48,Yemen,26737317.00
49,Ghana,26327649.00
50,Mozambique,25303113.00
51,"Korea, North",24983205.00
52,Madagascar,23812681.00
53,Cameroon,23739218.00
54,Taiwan,23415126.00
55,Cote d'Ivoire,23295302.00
56,Australia,22751014.00
57,Sri Lanka,22053488.00
58,Romania,21666350.00
59,Angola,19625353.00
60,Burkina Faso,18931686.00
61,Kazakhstan,18157122.00
62,Niger,18045729.00
63,Malawi,17964697.00
64,Chile,17508260.00
65,Syria,17064854.00
66,Mali,16955536.00
67,Netherlands,16947904.00
68,Ecuador,15868396.00
69,Cambodia,15708756.00
70,Zambia,15066266.00
71,Guatemala,14918999.00
72,Zimbabwe,14229541.00
73,Senegal,13975834.00
74,Rwanda,12661733.00
75,South Sudan,12042910.00
76,Guinea,11780162.00
77,Chad,11631456.00
78,Belgium,11323973.00
79,Tunisia,11037225.00
80,Cuba,11031433.00
